"","unit","airpol","geo","time","values"
"222","MIO_T","N2O","SI",2019-01-01,0.00273
"223","MIO_T","N2O","SK",2019-01-01,0.00717
"224","MIO_T","N2O","UK",2019-01-01,0.06883
"225","MIO_T","N2O_CO2E","AT",2019-01-01,3.47069
"226","MIO_T","N2O_CO2E","BE",2019-01-01,5.57302
"227","MIO_T","N2O_CO2E","BG",2019-01-01,5.65611
"228","MIO_T","N2O_CO2E","CY",2019-01-01,0.26393
"229","MIO_T","N2O_CO2E","CZ",2019-01-01,5.56579
"230","MIO_T","N2O_CO2E","DE",2019-01-01,35.40126
"231","MIO_T","N2O_CO2E","DK",2019-01-01,5.52527
"232","MIO_T","N2O_CO2E","EE",2019-01-01,0.97822
"233","MIO_T","N2O_CO2E","EL",2019-01-01,4.32296
"234","MIO_T","N2O_CO2E","ES",2019-01-01,18.47559
"235","MIO_T","N2O_CO2E","EU27_2020",2019-01-01,217.21684
"236","MIO_T","N2O_CO2E","EU28",2019-01-01,237.72812
"237","MIO_T","N2O_CO2E","EU28_IS_K",2019-01-01,238.18658
"238","MIO_T","N2O_CO2E","FI",2019-01-01,4.85165
"239","MIO_T","N2O_CO2E","FR",2019-01-01,38.8028
"240","MIO_T","N2O_CO2E","HR",2019-01-01,1.71606
"241","MIO_T","N2O_CO2E","HU",2019-01-01,4.8846
"242","MIO_T","N2O_CO2E","IE",2019-01-01,6.88222
"243","MIO_T","N2O_CO2E","IS",2019-01-01,0.304
"244","MIO_T","N2O_CO2E","IT",2019-01-01,17.32056
"245","MIO_T","N2O_CO2E","LT",2019-01-01,2.92205
"246","MIO_T","N2O_CO2E","LU",2019-01-01,0.35236
"247","MIO_T","N2O_CO2E","LV",2019-01-01,1.44927
"248","MIO_T","N2O_CO2E","MT",2019-01-01,0.05038
"249","MIO_T","N2O_CO2E","NL",2019-01-01,7.99156
"250","MIO_T","N2O_CO2E","PL",2019-01-01,22.12783
"251","MIO_T","N2O_CO2E","PT",2019-01-01,3.28839
"252","MIO_T","N2O_CO2E","RO",2019-01-01,11.6604
"253","MIO_T","N2O_CO2E","SE",2019-01-01,4.73342
"254","MIO_T","N2O_CO2E","SI",2019-01-01,0.8136
"255","MIO_T","N2O_CO2E","SK",2019-01-01,2.13685
"256","MIO_T","N2O_CO2E","UK",2019-01-01,20.51128
"257","MIO_T","NF3_CO2E","AT",2019-01-01,0.01361
"258","MIO_T","NF3_CO2E","BE",2019-01-01,0.00053
"259","MIO_T","NF3_CO2E","BG",2019-01-01,NA
"260","MIO_T","NF3_CO2E","CY",2019-01-01,NA
"261","MIO_T","NF3_CO2E","CZ",2019-01-01,0.00252
"262","MIO_T","NF3_CO2E","DE",2019-01-01,0.01096
"263","MIO_T","NF3_CO2E","DK",2019-01-01,NA
"264","MIO_T","NF3_CO2E","EE",2019-01-01,NA
"265","MIO_T","NF3_CO2E","EL",2019-01-01,NA
"266","MIO_T","NF3_CO2E","ES",2019-01-01,NA
"267","MIO_T","NF3_CO2E","EU27_2020",2019-01-01,0.05713
"268","MIO_T","NF3_CO2E","EU28",2019-01-01,0.05777
"269","MIO_T","NF3_CO2E","EU28_IS_K",2019-01-01,0.05777
"270","MIO_T","NF3_CO2E","FI",2019-01-01,NA
"271","MIO_T","NF3_CO2E","FR",2019-01-01,0.01029
"272","MIO_T","NF3_CO2E","HR",2019-01-01,NA
"273","MIO_T","NF3_CO2E","HU",2019-01-01,NA
"274","MIO_T","NF3_CO2E","IE",2019-01-01,0.00138
"275","MIO_T","NF3_CO2E","IS",2019-01-01,NA
"276","MIO_T","NF3_CO2E","IT",2019-01-01,0.01784
"277","MIO_T","NF3_CO2E","LT",2019-01-01,NA
"278","MIO_T","NF3_CO2E","LU",2019-01-01,NA
"279","MIO_T","NF3_CO2E","LV",2019-01-01,NA
"280","MIO_T","NF3_CO2E","MT",2019-01-01,NA
"281","MIO_T","NF3_CO2E","NL",2019-01-01,NA
"282","MIO_T","NF3_CO2E","PL",2019-01-01,NA
"283","MIO_T","NF3_CO2E","PT",2019-01-01,NA
"284","MIO_T","NF3_CO2E","RO",2019-01-01,NA
"285","MIO_T","NF3_CO2E","SE",2019-01-01,NA
