"TIME","GEO","UNIT","LANDUSE","Value","Flag and Footnotes"
"2013","Lithuania","Square kilometre","Land area - Total","62.675,0",""
"2013","Luxembourg","Square kilometre","Total area","2.586,0",""
"2013","Luxembourg","Square kilometre","Land area - Total","2.586,0",""
"2013","Hungary","Square kilometre","Total area","93.023,7",""
"2013","Hungary","Square kilometre","Land area - Total",":",""
"2013","Malta","Square kilometre","Total area","316,0",""
"2013","Malta","Square kilometre","Land area - Total","316,0",""
"2013","Netherlands","Square kilometre","Total area","41.540,4",""
"2013","Netherlands","Square kilometre","Land area - Total","33.718,2",""
"2013","Austria","Square kilometre","Total area","83.879,0",""
"2013","Austria","Square kilometre","Land area - Total","82.409,0",""
"2013","Poland","Square kilometre","Total area","312.679,0",""
"2013","Poland","Square kilometre","Land area - Total",":",""
"2013","Portugal","Square kilometre","Total area","92.225,2",""
"2013","Portugal","Square kilometre","Land area - Total",":",""
"2013","Romania","Square kilometre","Total area","238.391,0",""
"2013","Romania","Square kilometre","Land area - Total","230.022,0",""
"2013","Slovenia","Square kilometre","Total area","20.273,0",""
"2013","Slovenia","Square kilometre","Land area - Total","20.138,0",""
"2013","Slovakia","Square kilometre","Total area","49.036,0",""
"2013","Slovakia","Square kilometre","Land area - Total","49.036,0",""
"2013","Finland","Square kilometre","Total area","338.434,7",""
"2013","Finland","Square kilometre","Land area - Total","303.890,9",""
"2013","Sweden","Square kilometre","Total area","438.575,8",""
"2013","Sweden","Square kilometre","Land area - Total","407.339,7",""
"2013","United Kingdom","Square kilometre","Total area","248.527,8",""
"2013","United Kingdom","Square kilometre","Land area - Total","242.509,2",""
"2014","Belgium","Square kilometre","Total area","30.528,0",""
"2014","Belgium","Square kilometre","Land area - Total","30.326,0",""
"2014","Bulgaria","Square kilometre","Total area","111.002,0",""
"2014","Bulgaria","Square kilometre","Land area - Total","108.992,0",""
"2014","Czechia","Square kilometre","Total area","78.867,0",""
"2014","Czechia","Square kilometre","Land area - Total","77.223,0",""
"2014","Denmark","Square kilometre","Total area","42.921,0",""
"2014","Denmark","Square kilometre","Land area - Total","42.921,0",""
"2014","Germany (until 1990 former territory of the FRG)","Square kilometre","Total area","357.340,0",""
"2014","Germany (until 1990 former territory of the FRG)","Square kilometre","Land area - Total",":",""
"2014","Estonia","Square kilometre","Total area","45.227,0",""
"2014","Estonia","Square kilometre","Land area - Total","43.432,0",""
"2014","Ireland","Square kilometre","Total area","69.797,0",""
"2014","Ireland","Square kilometre","Land area - Total","68.394,0",""
"2014","Greece","Square kilometre","Total area","132.049,0",""
"2014","Greece","Square kilometre","Land area - Total",":",""
"2014","Spain","Square kilometre","Total area","505.970,0",""
"2014","Spain","Square kilometre","Land area - Total","502.315,0",""
"2014","France","Square kilometre","Total area","633.186,6","e"
"2014","France","Square kilometre","Land area - Total",":",""
"2014","Croatia","Square kilometre","Total area","56.594,0",""
"2014","Croatia","Square kilometre","Land area - Total",":",""
"2014","Italy","Square kilometre","Total area","302.073,0",""
"2014","Italy","Square kilometre","Land area - Total",":",""
"2014","Cyprus","Square kilometre","Total area","9.251,0",""
"2014","Cyprus","Square kilometre","Land area - Total","9.214,0",""
"2014","Latvia","Square kilometre","Total area","64.573,0",""
"2014","Latvia","Square kilometre","Land area - Total","62.210,0",""
"2014","Lithuania","Square kilometre","Total area","65.300,0",""
"2014","Lithuania","Square kilometre","Land area - Total","62.675,0",""
"2014","Luxembourg","Square kilometre","Total area","2.586,0",""
"2014","Luxembourg","Square kilometre","Land area - Total","2.586,0",""
"2014","Hungary","Square kilometre","Total area","93.024,0",""
"2014","Hungary","Square kilometre","Land area - Total",":",""
"2014","Malta","Square kilometre","Total area","316,0",""
"2014","Malta","Square kilometre","Land area - Total","316,0",""
"2014","Netherlands","Square kilometre","Total area","41.540,0",""
"2014","Netherlands","Square kilometre","Land area - Total","33.686,0",""
"2014","Austria","Square kilometre","Total area","83.879,0",""
"2014","Austria","Square kilometre","Land area - Total","82.409,0",""
"2014","Poland","Square kilometre","Total area","312.679,0",""
"2014","Poland","Square kilometre","Land area - Total","306.194,0",""
"2014","Portugal","Square kilometre","Total area","92.225,0",""
"2014","Portugal","Square kilometre","Land area - Total",":",""
"2014","Romania","Square kilometre","Total area","238.390,7",""
"2014","Romania","Square kilometre","Land area - Total","230.076,0",""
"2014","Slovenia","Square kilometre","Total area","20.273,0",""
"2014","Slovenia","Square kilometre","Land area - Total","20.144,8",""
"2014","Slovakia","Square kilometre","Total area","49.035,0",""
"2014","Slovakia","Square kilometre","Land area - Total",":",""
"2014","Finland","Square kilometre","Total area","338.435,0",""
"2014","Finland","Square kilometre","Land area - Total","303.891,0",""
"2014","Sweden","Square kilometre","Total area","438.574,0",""
"2014","Sweden","Square kilometre","Land area - Total","407.340,0",""
"2014","United Kingdom","Square kilometre","Total area","248.527,8",""
"2014","United Kingdom","Square kilometre","Land area - Total","242.509,2",""
