"","geo","time","values"
"564","NO","2020",5367580
"565","PL","2020",37958138
"566","PT","2020",10295909
"567","RO","2020",19328838
"568","RS","2020",6926705
"569","SE","2020",10327589
"570","SI","2020",2095861
"571","SK","2020",5457873
"572","SM","2020",34735
"573","TR","2020",83154997
"574","UA","2020",41732779
"575","UK","2020",67025542
"576","XK","2020",1782115
"577","AL","2021",2829741
"578","AM","2021",2963251
"579","AT","2021",8932664
"580","AZ","2021",10119133
"581","BE","2021",11566041
"582","BG","2021",6916548
"583","CH","2021",8667088
"584","CY","2021",896005
"585","CZ","2021",10701777
"586","DE","2021",83155031
"587","DK","2021",5840045
"588","EA18","2021",339580922
"589","EA19","2021",342376602
"590","EE","2021",1330068
"591","EL","2021",10682547
"592","ES","2021",47394223
"593","EU27_2020","2021",447007596
"594","FI","2021",5533793
"595","FR","2021",67439599
"596","HR","2021",4036355
"597","HU","2021",9730772
"598","IE","2021",5006907
"599","IS","2021",368792
"600","IT","2021",59257566
"601","LI","2021",39055
"602","LT","2021",2795680
"603","LU","2021",634730
"604","LV","2021",1893223
"605","ME","2021",620739
"606","MK","2021",2068808
"607","MT","2021",516100
"608","NL","2021",17475415
"609","NO","2021",5391369
"610","PL","2021",37840001
"611","PT","2021",10298252
"612","RO","2021",19186201
"613","RS","2021",6871547
"614","SE","2021",10379295
"615","SI","2021",2108977
"616","SK","2021",5459781
"617","TR","2021",83614362
"618","UA","2021",41418717
